Original_URL,Total_Result_Count,Title,Location,Link,Distance,Review_Score,Review_description,Number_Of_Reviews,Details,Price
https://www.booking.com/searchresults.fr.html?ss=Bordeaux%2C+Aquitaine%2C+France&efdco=1&label=gog235jc-1DCAEoggI46AdIDVgDaE2IAQGYAQ24AQfIAQ_YAQPoAQH4AQKIAgGoAgO4AumEn7oGwAIB0gIkYzhiMzdmOTMtOWNjNS00NzU1LWE0ZGUtZDllMzZkMTAxM2M02AIE4AIB&aid=397594&lang=fr&sb=1&src_elem=sb&src=index&dest_id=-1413751&dest_type=city&ac_position=0&ac_click_type=b&ac_langcode=fr&ac_suggestion_list_length=5&search_selected=true&search_pageview_id=38bf07f4b08106f1&ac_meta=GhAzOGJmMDdmNGIwODEwNmYxIAAoATICZnI6CGJvcmRlYXV4QABKAFAA&group_adults=2&no_rooms=1&group_children=0,900,"Montempô Appart'hôtel Bordeaux Belvédère
Une nouvelle fenêtre va s'ouvrir","La Bastide, Bordeaux",https://www.booking.com/hotel/fr/montempo-bordeaux-belvedere.fr.html?label=gog235jc-1DCAEoggI46AdIDVgDaE2IAQGYAQ24AQfIAQ_YAQPoAQH4AQKIAgGoAgO4AumEn7oGwAIB0gIkYzhiMzdmOTMtOWNjNS00NzU1LWE0ZGUtZDllMzZkMTAxM2M02AIE4AIB&aid=397594&ucfs=1&arphpl=1&dest_id=-1413751&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6c4508f76cec01d1&srepoch=1732756602&from=searchresults,"2,3 km du centre","Avec une note de 8,7",Superbe ,95 expériences vécues,"Le Montempô Appart'hôtel Bordeaux Belvédère est idéalement situé dans le quartier de la Bastide à Bordeaux, à 1,4 km du pont de pierre, à 3 km de la grosse cloche et à 2 km de la basilique...",
https://www.booking.com/searchresults.fr.html?ss=Bordeaux%2C+Aquitaine%2C+France&efdco=1&label=gog235jc-1DCAEoggI46AdIDVgDaE2IAQGYAQ24AQfIAQ_YAQPoAQH4AQKIAgGoAgO4AumEn7oGwAIB0gIkYzhiMzdmOTMtOWNjNS00NzU1LWE0ZGUtZDllMzZkMTAxM2M02AIE4AIB&aid=397594&lang=fr&sb=1&src_elem=sb&src=index&dest_id=-1413751&dest_type=city&ac_position=0&ac_click_type=b&ac_langcode=fr&ac_suggestion_list_length=5&search_selected=true&search_pageview_id=38bf07f4b08106f1&ac_meta=GhAzOGJmMDdmNGIwODEwNmYxIAAoATICZnI6CGJvcmRlYXV4QABKAFAA&group_adults=2&no_rooms=1&group_children=0,900,"Diac Hotel L'Hermitte Bordeaux
Une nouvelle fenêtre va s'ouvrir","Meriadeck, Bordeaux",https://www.booking.com/hotel/fr/diac-l-hermitte-bordeaux.fr.html?label=gog235jc-1DCAEoggI46AdIDVgDaE2IAQGYAQ24AQfIAQ_YAQPoAQH4AQKIAgGoAgO4AumEn7oGwAIB0gIkYzhiMzdmOTMtOWNjNS00NzU1LWE0ZGUtZDllMzZkMTAxM2M02AIE4AIB&aid=397594&ucfs=1&arphpl=1&dest_id=-1413751&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=6c4508f76cec01d1&srepoch=1732756602&from=searchresults,"1,5 km du centre","Avec une note de 7,9",Bien  ,134 expériences vécues,"Situé à Bordeaux, à moins de 2,4 km du musée d'Aquitaine, le Diac Hotel L'Hermitte Bordeaux propose un jardin, des chambres non-fumeurs et une connexion Wi-Fi gratuite dans l'ensemble de ses locaux. ",
https://www.booking.com/searchresults.fr.html?ss=Bordeaux%2C+Aquitaine%2C+France&efdco=1&label=gog235jc-1DCAEoggI46AdIDVgDaE2IAQGYAQ24AQfIAQ_YAQPoAQH4AQKIAgGoAgO4AumEn7oGwAIB0gIkYzhiMzdmOTMtOWNjNS00NzU1LWE0ZGUtZDllMzZkMTAxM2M02AIE4AIB&aid=397594&lang=fr&sb=1&src_elem=sb&src=index&dest_id=-1413751&dest_type=city&ac_position=0&ac_click_type=b&ac_langcode=fr&ac_suggestion_list_length=5&search_selected=true&search_pageview_id=38bf07f4b08106f1&ac_meta=GhAzOGJmMDdmNGIwODEwNmYxIAAoATICZnI6CGJvcmRlYXV4QABKAFAA&group_adults=2&no_rooms=1&group_children=0,900,"Bordeaux Cosy B&B
Une nouvelle fenêtre va s'ouvrir","Nansouty Saint-Genès, Bordeaux",https://www.booking.com/hotel/fr/bordeaux-cosy-b-amp-b.fr.html?label=gog235jc-1DCAEoggI46AdIDVgDaE2IAQGYAQ24AQfIAQ_YAQPoAQH4AQKIAgGoAgO4AumEn7oGwAIB0gIkYzhiMzdmOTMtOWNjNS00NzU1LWE0ZGUtZDllMzZkMTAxM2M02AIE4AIB&aid=397594&ucfs=1&arphpl=1&dest_id=-1413751&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6c4508f76cec01d1&srepoch=1732756602&from=searchresults,"1,7 km du centre","Avec une note de 9,1",Fabuleux  ,1 508 expériences vécues,Le Bordeaux Cosy B & B est situé à 5 minutes à pied d'un arrêt de tramway et à seulement 10 minutes de marche du cœur de Bordeaux. ,
https://www.booking.com/searchresults.fr.html?ss=Bordeaux%2C+Aquitaine%2C+France&efdco=1&label=gog235jc-1DCAEoggI46AdIDVgDaE2IAQGYAQ24AQfIAQ_YAQPoAQH4AQKIAgGoAgO4AumEn7oGwAIB0gIkYzhiMzdmOTMtOWNjNS00NzU1LWE0ZGUtZDllMzZkMTAxM2M02AIE4AIB&aid=397594&lang=fr&sb=1&src_elem=sb&src=index&dest_id=-1413751&dest_type=city&ac_position=0&ac_click_type=b&ac_langcode=fr&ac_suggestion_list_length=5&search_selected=true&search_pageview_id=38bf07f4b08106f1&ac_meta=GhAzOGJmMDdmNGIwODEwNmYxIAAoATICZnI6CGJvcmRlYXV4QABKAFAA&group_adults=2&no_rooms=1&group_children=0,900,"Eklo Bordeaux Centre Bastide
Une nouvelle fenêtre va s'ouvrir","La Bastide, Bordeaux",https://www.booking.com/hotel/fr/eklo-bordeaux-centre-bastide.fr.html?label=gog235jc-1DCAEoggI46AdIDVgDaE2IAQGYAQ24AQfIAQ_YAQPoAQH4AQKIAgGoAgO4AumEn7oGwAIB0gIkYzhiMzdmOTMtOWNjNS00NzU1LWE0ZGUtZDllMzZkMTAxM2M02AIE4AIB&aid=397594&ucfs=1&arphpl=1&dest_id=-1413751&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6c4508f76cec01d1&srepoch=1732756602&from_sustainable_property_sr=1&from=searchresults,"1,8 km du centre","Avec une note de 7,3",Bien  ,8 016 expériences vécues,"Doté d’un bar et d’un salon commun, l’Eklo Bordeaux Centre Bastide vous accueille à Bordeaux, à 3,1 km du pont Chaban-Delmas et à 3,6 km du pont de pierre. ",
https://www.booking.com/searchresults.fr.html?ss=Bordeaux%2C+Aquitaine%2C+France&efdco=1&label=gog235jc-1DCAEoggI46AdIDVgDaE2IAQGYAQ24AQfIAQ_YAQPoAQH4AQKIAgGoAgO4AumEn7oGwAIB0gIkYzhiMzdmOTMtOWNjNS00NzU1LWE0ZGUtZDllMzZkMTAxM2M02AIE4AIB&aid=397594&lang=fr&sb=1&src_elem=sb&src=index&dest_id=-1413751&dest_type=city&ac_position=0&ac_click_type=b&ac_langcode=fr&ac_suggestion_list_length=5&search_selected=true&search_pageview_id=38bf07f4b08106f1&ac_meta=GhAzOGJmMDdmNGIwODEwNmYxIAAoATICZnI6CGJvcmRlYXV4QABKAFAA&group_adults=2&no_rooms=1&group_children=0,900,"B&B Bordeaux Saint Michel
Une nouvelle fenêtre va s'ouvrir","Vieux Bordeaux, Bordeaux",https://www.booking.com/hotel/fr/bordeaux-saint-michel-bordeaux.fr.html?label=gog235jc-1DCAEoggI46AdIDVgDaE2IAQGYAQ24AQfIAQ_YAQPoAQH4AQKIAgGoAgO4AumEn7oGwAIB0gIkYzhiMzdmOTMtOWNjNS00NzU1LWE0ZGUtZDllMzZkMTAxM2M02AIE4AIB&aid=397594&ucfs=1&arphpl=1&dest_id=-1413751&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=6c4508f76cec01d1&srepoch=1732756602&from_sustainable_property_sr=1&from=searchresults,"1,2 km du centre","Avec une note de 9,0",Fabuleux  ,501 expériences vécues,"Le B&B Bordeaux Saint Michel propose des hébergements à Bordeaux, à 200 mètres de la basilique Saint-Michel et à 500 mètres du pont de pierre. Vous bénéficierez gratuitement d’une connexion Wi-Fi. ",
https://www.booking.com/searchresults.fr.html?ss=Bordeaux%2C+Aquitaine%2C+France&efdco=1&label=gog235jc-1DCAEoggI46AdIDVgDaE2IAQGYAQ24AQfIAQ_YAQPoAQH4AQKIAgGoAgO4AumEn7oGwAIB0gIkYzhiMzdmOTMtOWNjNS00NzU1LWE0ZGUtZDllMzZkMTAxM2M02AIE4AIB&aid=397594&lang=fr&sb=1&src_elem=sb&src=index&dest_id=-1413751&dest_type=city&ac_position=0&ac_click_type=b&ac_langcode=fr&ac_suggestion_list_length=5&search_selected=true&search_pageview_id=38bf07f4b08106f1&ac_meta=GhAzOGJmMDdmNGIwODEwNmYxIAAoATICZnI6CGJvcmRlYXV4QABKAFAA&group_adults=2&no_rooms=1&group_children=0,900,"Hotel Saint Louis Beaulieu - Bordeaux
Une nouvelle fenêtre va s'ouvrir","Nansouty Saint-Genès, Bordeaux",https://www.booking.com/hotel/fr/maison-st-louis-beaulieu.fr.html?label=gog235jc-1DCAEoggI46AdIDVgDaE2IAQGYAQ24AQfIAQ_YAQPoAQH4AQKIAgGoAgO4AumEn7oGwAIB0gIkYzhiMzdmOTMtOWNjNS00NzU1LWE0ZGUtZDllMzZkMTAxM2M02AIE4AIB&aid=397594&ucfs=1&arphpl=1&dest_id=-1413751&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=6c4508f76cec01d1&srepoch=1732756602&from=searchresults,"1,4 km du centre","Avec une note de 8,1",Très bien ,1 351 expériences vécues,"Situé à Bordeaux, à 1,6 km du musée d'Aquitaine, l'Hotel Saint Louis Beaulieu - Bordeaux propose un jardin, un parking privé gratuit et un restaurant. ",
https://www.booking.com/searchresults.fr.html?ss=Bordeaux%2C+Aquitaine%2C+France&efdco=1&label=gog235jc-1DCAEoggI46AdIDVgDaE2IAQGYAQ24AQfIAQ_YAQPoAQH4AQKIAgGoAgO4AumEn7oGwAIB0gIkYzhiMzdmOTMtOWNjNS00NzU1LWE0ZGUtZDllMzZkMTAxM2M02AIE4AIB&aid=397594&lang=fr&sb=1&src_elem=sb&src=index&dest_id=-1413751&dest_type=city&ac_position=0&ac_click_type=b&ac_langcode=fr&ac_suggestion_list_length=5&search_selected=true&search_pageview_id=38bf07f4b08106f1&ac_meta=GhAzOGJmMDdmNGIwODEwNmYxIAAoATICZnI6CGJvcmRlYXV4QABKAFAA&group_adults=2&no_rooms=1&group_children=0,900,"Hotel de L'Opéra
Une nouvelle fenêtre va s'ouvrir","Centre de Bordeaux, Bordeaux",https://www.booking.com/hotel/fr/de-l-opera.fr.html?label=gog235jc-1DCAEoggI46AdIDVgDaE2IAQGYAQ24AQfIAQ_YAQPoAQH4AQKIAgGoAgO4AumEn7oGwAIB0gIkYzhiMzdmOTMtOWNjNS00NzU1LWE0ZGUtZDllMzZkMTAxM2M02AIE4AIB&aid=397594&ucfs=1&arphpl=1&dest_id=-1413751&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=6c4508f76cec01d1&srepoch=1732756602&from=searchresults,"0,7 km du centre","Avec une note de 6,8",Note ,3 827 expériences vécues,"L'Hotel de L'Opéra propose un hébergement abordable doté d'une connexion Wi-Fi gratuite dans le centre de Bordeaux, en face du Grand Théâtre, à 350 mètres de la place des Quinconces. ",
https://www.booking.com/searchresults.fr.html?ss=Bordeaux%2C+Aquitaine%2C+France&efdco=1&label=gog235jc-1DCAEoggI46AdIDVgDaE2IAQGYAQ24AQfIAQ_YAQPoAQH4AQKIAgGoAgO4AumEn7oGwAIB0gIkYzhiMzdmOTMtOWNjNS00NzU1LWE0ZGUtZDllMzZkMTAxM2M02AIE4AIB&aid=397594&lang=fr&sb=1&src_elem=sb&src=index&dest_id=-1413751&dest_type=city&ac_position=0&ac_click_type=b&ac_langcode=fr&ac_suggestion_list_length=5&search_selected=true&search_pageview_id=38bf07f4b08106f1&ac_meta=GhAzOGJmMDdmNGIwODEwNmYxIAAoATICZnI6CGJvcmRlYXV4QABKAFAA&group_adults=2&no_rooms=1&group_children=0,900,"444 Tourny - Appartement 2 chambres avec ascenseur et Parking
Une nouvelle fenêtre va s'ouvrir","Centre de Bordeaux, Bordeaux",https://www.booking.com/hotel/fr/444-tourny.fr.html?label=gog235jc-1DCAEoggI46AdIDVgDaE2IAQGYAQ24AQfIAQ_YAQPoAQH4AQKIAgGoAgO4AumEn7oGwAIB0gIkYzhiMzdmOTMtOWNjNS00NzU1LWE0ZGUtZDllMzZkMTAxM2M02AIE4AIB&aid=397594&ucfs=1&arphpl=1&dest_id=-1413751&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=6c4508f76cec01d1&srepoch=1732756602&from=searchresults,"0,7 km du centre","Avec une note de 7,7",Bien  ,7 expériences vécues,"Doté d'un balcon, le 444 Tourny - Appartement 2 chambres avec ascenseur et Parking est situé à Bordeaux, à seulement 700 mètres de la place de la Bourse et à 400 mètres de l'esplanade des Quinconces. ",
https://www.booking.com/searchresults.fr.html?ss=Bordeaux%2C+Aquitaine%2C+France&efdco=1&label=gog235jc-1DCAEoggI46AdIDVgDaE2IAQGYAQ24AQfIAQ_YAQPoAQH4AQKIAgGoAgO4AumEn7oGwAIB0gIkYzhiMzdmOTMtOWNjNS00NzU1LWE0ZGUtZDllMzZkMTAxM2M02AIE4AIB&aid=397594&lang=fr&sb=1&src_elem=sb&src=index&dest_id=-1413751&dest_type=city&ac_position=0&ac_click_type=b&ac_langcode=fr&ac_suggestion_list_length=5&search_selected=true&search_pageview_id=38bf07f4b08106f1&ac_meta=GhAzOGJmMDdmNGIwODEwNmYxIAAoATICZnI6CGJvcmRlYXV4QABKAFAA&group_adults=2&no_rooms=1&group_children=0,900,"Hôtel Notre Dame
Une nouvelle fenêtre va s'ouvrir","Chartrons, Bordeaux",https://www.booking.com/hotel/fr/notre-dame-nn.fr.html?label=gog235jc-1DCAEoggI46AdIDVgDaE2IAQGYAQ24AQfIAQ_YAQPoAQH4AQKIAgGoAgO4AumEn7oGwAIB0gIkYzhiMzdmOTMtOWNjNS00NzU1LWE0ZGUtZDllMzZkMTAxM2M02AIE4AIB&aid=397594&ucfs=1&arphpl=1&dest_id=-1413751&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=6c4508f76cec01d1&srepoch=1732756602&from_sustainable_property_sr=1&from=searchresults,"1,5 km du centre","Avec une note de 8,1",Très bien ,1 214 expériences vécues,Certificat de durabilité,
https://www.booking.com/searchresults.fr.html?ss=Bordeaux%2C+Aquitaine%2C+France&efdco=1&label=gog235jc-1DCAEoggI46AdIDVgDaE2IAQGYAQ24AQfIAQ_YAQPoAQH4AQKIAgGoAgO4AumEn7oGwAIB0gIkYzhiMzdmOTMtOWNjNS00NzU1LWE0ZGUtZDllMzZkMTAxM2M02AIE4AIB&aid=397594&lang=fr&sb=1&src_elem=sb&src=index&dest_id=-1413751&dest_type=city&ac_position=0&ac_click_type=b&ac_langcode=fr&ac_suggestion_list_length=5&search_selected=true&search_pageview_id=38bf07f4b08106f1&ac_meta=GhAzOGJmMDdmNGIwODEwNmYxIAAoATICZnI6CGJvcmRlYXV4QABKAFAA&group_adults=2&no_rooms=1&group_children=0,900,"L'Appart D'Oli et Tiane
Une nouvelle fenêtre va s'ouvrir","Centre de Bordeaux, Bordeaux",https://www.booking.com/hotel/fr/appart-d-oli-et-tiane.fr.html?label=gog235jc-1DCAEoggI46AdIDVgDaE2IAQGYAQ24AQfIAQ_YAQPoAQH4AQKIAgGoAgO4AumEn7oGwAIB0gIkYzhiMzdmOTMtOWNjNS00NzU1LWE0ZGUtZDllMzZkMTAxM2M02AIE4AIB&aid=397594&ucfs=1&arphpl=1&dest_id=-1413751&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6c4508f76cec01d1&srepoch=1732756602&from=searchresults,500 m du centre,"Avec une note de 9,7",Exceptionnel ,211 expériences vécues,"Situé au cœur de Bordeaux, à 750 mètres de la place Victoire et à 100 mètres d'un arrêt de tramway, L'Appart D'Oli Et Tiane est un appartement moderne et élégant doté d'une chambre et d'une connexion...",
